time,open,high,low,close,volume,is_ipo
2025-02-24,32060.000000000004,32619.999999999996,31870.0,32430.0,2190408,False
2025-02-25,32430.0,32990.0,32340.000000000004,32520.000000000004,4151679,False
2025-02-26,32619.999999999996,32800.0,32340.000000000004,32520.000000000004,1652718,False
2025-02-27,32520.000000000004,32800.0,32340.000000000004,32800.0,2090236,False
2025-02-28,32710.0,33650.0,32710.0,33270.0,4800869,False
2025-03-03,33370.0,33460.0,32990.0,32990.0,1411841,False
2025-03-04,32340.000000000004,33180.0,32340.000000000004,32710.0,2416223,False
2025-03-05,32900.0,32900.0,32240.000000000004,32240.000000000004,1813555,False
2025-03-06,32340.000000000004,32430.0,31590.0,32060.000000000004,4686148,False
2025-03-07,32150.0,32340.000000000004,31870.0,31870.0,2512757,False
2025-03-10,31780.0,32150.0,31680.0,31680.0,2583007,False
2025-03-11,31680.0,31680.0,31310.0,31400.0,3040130,False
2025-03-12,31500.0,31680.0,31220.0,31590.0,3131002,False
2025-03-13,31590.0,31680.0,30940.0,31030.0,2648401,False
2025-03-14,31030.0,31120.0,30190.0,30370.0,4454715,False
2025-03-17,30470.0,31030.0,30470.0,30750.0,1418898,False
2025-03-18,30750.0,31500.0,30750.0,31030.0,2432240,False
2025-03-19,28320.0,31120.0,28320.0,30560.0,1258217,False
2025-03-20,30650.0,30750.0,30090.0,30560.0,1278505,False
2025-03-21,30750.0,31120.0,30470.0,30840.0,1741290,False
2025-03-24,30840.0,30940.0,30280.0,30470.0,1744370,False
2025-03-25,27480.0,30940.0,27480.0,30470.0,1550282,False
2025-03-26,30470.0,31120.0,30280.0,30470.0,2303314,False
2025-03-27,30560.0,30840.0,30190.0,30280.0,1757633,False
2025-03-28,29910.0,30470.0,29530.0,29810.0,2398920,False
2025-03-31,29810.0,29810.0,28790.0,28790.0,3395380,False
2025-04-01,26170.0,29440.0,26170.0,29160.0,2022986,False
2025-04-02,29070.0,29440.0,28970.0,28970.0,1418885,False
2025-04-03,28510.0,28690.0,26080.0,26080.0,6978483,False
2025-04-04,24390.0,26080.0,23550.0,24580.0,12068430,False
2025-04-08,24300.0,24390.0,22150.0,22150.0,4648485,False
2025-04-09,20000.0,22150.0,20000.0,20000.0,14314239,False
2025-04-10,21960.0,21960.0,21960.0,21960.0,229084,False
2025-04-11,20090.0,23740.0,20090.0,22620.0,10036206,False
2025-04-14,20370.0,24770.0,20370.0,24110.0,9758296,False
2025-04-15,24210.0,24490.0,23270.0,23360.0,4500804,False
2025-04-16,23360.0,24020.0,22990.0,23360.0,4947324,False
2025-04-17,23360.0,23740.0,22800.0,23740.0,4578758,False
2025-04-18,23930.0,24860.0,23930.0,24300.0,6037210,False
2025-04-21,24770.0,25330.0,24300.0,25140.0,4883721,False
2025-04-22,25140.0,25230.0,22710.0,24770.0,7757036,False
2025-04-23,24770.0,25510.0,24670.0,24860.0,2773626,False
2025-04-24,25230.0,25330.0,24300.0,24580.0,2734456,False
2025-04-25,24580.0,25050.0,24300.0,24390.0,2731936,False
2025-04-28,24390.0,24670.0,24210.0,24210.0,2062339,False
2025-04-29,24300.0,24390.0,23830.0,23930.0,2407389,False
2025-05-05,23830.0,24300.0,23550.0,24300.0,3470967,False
2025-05-06,24300.0,24950.0,24300.0,24580.0,3945580,False
2025-05-07,24670.0,25420.0,24670.0,24860.0,5045648,False
2025-05-08,25050.0,25330.0,24670.0,25230.0,4789164,False
2025-05-09,25330.0,25610.0,24860.0,24860.0,2609245,False
2025-05-12,24950.0,25700.0,24770.0,25700.0,4262397,False
2025-05-13,25790.0,26360.0,25700.0,25700.0,4455170,False
2025-05-14,25890.0,26360.0,25700.0,26170.0,4038400,False
2025-05-15,26260.0,26080.0,26080.0,26080.0,3063802,False
2025-05-16,26080.0,26260.0,25610.0,25700.0,2777420,False
2025-05-19,25700.0,25330.0,25330.0,25330.0,2511077,False
2025-05-20,25330.0,25610.0,25230.0,25330.0,2457902,False
2025-05-21,25700.0,26640.0,24860.0,25050.0,3480128,False
2025-05-22,25140.0,25140.0,24490.0,24580.0,4091182,False
2025-05-23,24580.0,24770.0,24210.0,24300.0,3402388,False
2025-05-26,24390.0,25330.0,24020.0,25140.0,3748186,False
2025-05-27,25140.0,25700.0,25140.0,25420.0,4272993,False
2025-05-28,25610.0,27570.0,25510.0,27100.0,9094672,False
2025-05-29,27100.0,27570.0,26640.0,26640.0,3504371,False
2025-05-30,26920.0,26920.0,25700.0,25700.0,5581859,False
2025-06-02,25700.0,28220.0,25610.0,28220.0,8511721,False
2025-06-03,28970.0,31030.0,28410.0,28510.0,7419384,False
2025-06-04,28690.0,30090.0,28690.0,29530.0,7974485,False
2025-06-05,29910.0,31120.0,28970.0,30370.0,9045759,False
